wallet_address,account_age_days,total_transactions,total_volume,current_balance,average_balance,balance_stability_score,transaction_frequency_score,asset_diversity_score,dapp_usage_score,unique_counterparties,avg_transaction_size,risk_category,credit_score
SYNTH_LOW_RISK_15311,1491,529,862790.4606213081,86820,92939.84679952702,79.61507688612312,100.0,20,75,22,193.79464285714286,low_risk,820
SYNTH_LOW_RISK_79092,617,368,244626.67463281192,35658,28608.929521464863,86.896412929152,100.0,0,60,39,106.44179104477612,low_risk,839
SYNTH_LOW_RISK_77121,1662,578,137184.95014064023,18792,16669.004725123326,100.0,100.0,40,60,6,38.587268993839835,low_risk,850
SYNTH_LOW_RISK_84065,930,255,397973.2470388006,62995,66273.93380859647,90.32626292643977,93.85491948046233,100,30,25,307.2926829268293,low_risk,850
SYNTH_LOW_RISK_12695,1128,348,37962.409896819365,18571,22086.060512700835,86.12880744330404,100.0,20,15,17,64.70731707317073,low_risk,738
SYNTH_LOW_RISK_94651,756,303,510224.83821314323,71858,88552.5999536298,85.76314425743948,100.0,20,60,1,274.2671755725191,low_risk,783
SYNTH_LOW_RISK_28141,977,283,196198.13580747938,62992,66938.47573328095,97.50355927576655,98.86923147739765,40,60,15,273.8782608695652,low_risk,821
SYNTH_LOW_RISK_33776,1559,213,183067.9207502433,43827,47710.688947779774,100.0,51.46105390448706,100,75,13,342.3984375,low_risk,850
SYNTH_LOW_RISK_33664,1647,548,216728.07875294978,68053,88376.6399374214,86.65978370048289,100.0,40,100,49,148.5873362445415,low_risk,824
SYNTH_LOW_RISK_99045,366,249,68230.38736757943,10854,8185.803098502328,90.65564936550419,100.0,40,100,33,47.39737991266376,low_risk,850
SYNTH_LOW_RISK_21411,1589,310,688939.3022637592,96202,77406.0395218829,80.1136719595313,70.80091547341976,0,30,33,431.39910313901345,low_risk,836
SYNTH_LOW_RISK_39855,915,487,149145.23891596767,21111,19072.054751297474,87.8848735146472,100.0,20,100,35,48.30892448512586,low_risk,811
SYNTH_LOW_RISK_96831,1180,371,611367.4068680102,76690,83575.20821675853,99.45656680775562,100.0,100,100,7,249.80456026058633,low_risk,850
SYNTH_LOW_RISK_66835,1583,313,118644.94727320096,54064,58782.88852355508,84.64152423796563,71.76654799966128,60,100,17,238.16740088105726,low_risk,850
SYNTH_LOW_RISK_33093,1560,404,216368.3668571264,28589,29790.787275010913,98.29727011088984,91.36558918168654,40,100,24,89.62068965517241,low_risk,850
SYNTH_LOW_RISK_16655,990,441,72512.22843660346,14014,10236.682116391665,100.0,100.0,60,100,23,36.21188630490956,low_risk,850
SYNTH_LOW_RISK_63006,1531,274,205497.56345191947,42097,32677.219840663834,84.44520423031301,65.51037410361698,20,60,33,220.40314136125656,low_risk,850
SYNTH_LOW_RISK_38251,628,186,103786.00427025164,13051,11100.088445440766,100.0,98.76700805242581,60,75,26,85.86184210526316,low_risk,850
SYNTH_LOW_RISK_23500,481,443,489917.8389277655,61990,64011.64462910903,95.45863359892809,100.0,20,60,22,148.65707434052757,low_risk,787
SYNTH_LOW_RISK_88781,1225,413,638309.9077031125,83666,82369.53655065209,84.89495579528207,100.0,40,15,26,241.8092485549133,low_risk,829
SYNTH_LOW_RISK_51975,838,485,528874.232700332,72752,58038.683263416904,93.2095681750403,100.0,20,45,24,165.34545454545454,low_risk,809
SYNTH_LOW_RISK_22161,700,384,94726.73818141155,40977,43884.413651108305,89.63198494044828,100.0,100,90,23,118.4306358381503,low_risk,850
SYNTH_LOW_RISK_48756,1213,255,282981.8566820479,35351,41859.14892070223,83.66192196094781,74.46949810450829,60,60,49,187.04232804232805,low_risk,850
SYNTH_LOW_RISK_89459,1487,216,99829.87267575163,47841,59477.3274803244,83.0380938726944,54.13553249735933,80,90,12,354.3777777777778,low_risk,821
SYNTH_LOW_RISK_37192,629,417,269362.16269672266,92637,116588.98773813223,86.40336873195544,100.0,40,45,39,241.87206266318537,low_risk,850
SYNTH_LOW_RISK_52348,762,363,96065.47409160165,19348,22979.2276163789,92.57058958563658,100.0,100,60,7,60.08695652173913,low_risk,835
SYNTH_LOW_RISK_52918,581,431,365819.39489757054,45909,48205.4259821073,96.26597492425044,100.0,60,75,49,114.7725,low_risk,850
SYNTH_LOW_RISK_23843,1797,509,241727.57462552717,92848,74253.26225314618,75.03505855012477,99.78641089069536,20,75,49,225.90754257907543,low_risk,850
SYNTH_LOW_RISK_94665,1531,183,302463.5681181325,78866,67790.2762341378,100.0,45.669714712277454,0,90,37,788.66,low_risk,850
SYNTH_LOW_RISK_15713,405,349,160841.33873867834,30159,31627.670095315523,87.73452228652341,100.0,0,60,25,92.22935779816514,low_risk,815
SYNTH_LOW_RISK_10404,814,153,232333.11762430426,94791,115534.43926055565,98.36580493562073,65.35675318405832,40,100,17,869.6422018348624,low_risk,850
SYNTH_LOW_RISK_24489,1073,508,118868.48485429947,19860,19576.526662937893,95.07802816765214,100.0,100,90,3,44.13333333333333,low_risk,850
